,parcelid,airconditioningtypeid,architecturalstyletypeid,basementsqft,bathroomcnt,bedroomcnt,buildingclasstypeid,buildingqualitytypeid,calculatedbathnbr,decktypeid,finishedfloor1squarefeet,calculatedfinishedsquarefeet,finishedsquarefeet12,finishedsquarefeet13,finishedsquarefeet15,finishedsquarefeet50,finishedsquarefeet6,fips,fireplacecnt,fullbathcnt,garagecarcnt,garagetotalsqft,hashottuborspa,heatingorsystemtypeid,latitude,longitude,lotsizesquarefeet,poolcnt,poolsizesum,pooltypeid10,pooltypeid2,pooltypeid7,propertycountylandusecode,propertylandusetypeid,propertyzoningdesc,rawcensustractandblock,regionidcity,regionidcounty,regionidneighborhood,regionidzip,roomcnt,storytypeid,threequarterbathnbr,typeconstructiontypeid,unitcnt,yardbuildingsqft17,yardbuildingsqft26,yearbuilt,numberofstories,fireplaceflag,structuretaxvaluedollarcnt,taxvaluedollarcnt,assessmentyear,landtaxvaluedollarcnt,taxamount,taxdelinquencyflag,taxdelinquencyyear,censustractandblock
209190,17300012.00,,,,4.5,5,,,4.5,,1771,3932,3932,,,1771,,6111,2,4,2,632,,,34188088,-118760811,7191,,,,,,1111,261,,61110074.05,53655,2061,,96393,10,,1,,,64,,2002,2,,568609,947674,2015,379065,11924.9,,,6.11101E+13
814394,14071865.00,,,,2,3,,,2,,,1875,1875,,,,,6059,,2,2,493,,,33706868,-117962974,7973,,,,,,122,261,,60590992.34,8384,1286,,97008,7,,,,,,,1965,2,,99539,687000,2015,587461,7893.62,,,6.0591E+13
383060,14088163.00,,,,2.5,3,,,2.5,,,1950,1950,,,,,6059,,2,1,399,,,33737672,-118098704,2500,,,,,,122,261,,60590995.11,54352,1286,,96225,7,,1,,,,,1976,2,,164799,681243,2015,516444,7951.36,,,6.0591E+13
843098,13839974.00,,,,1,3,,,1,,,1013,1013,,,,,6059,,1,1,360,,,33750798,-117898652,7830,,,,,,122,261,,60590752.01,47568,1286,268007,97003,5,,,,,,,1953,1,,51956,273226,2015,221270,3441.2,,,6.05908E+13
1020937,13005206.00,,,,2,3,,7,2,,,1332,1332,,,,,6037,,2,,,,7,34094150,-118046168,5052,,,,,,100,261,TCR172,60374321.01,14111,3101,,96517,0,,,,1,,,1951,,,39549,58698,2015,19149,1060.69,,,6.03743E+13
1032553,12228773.00,,,,1,3,,7,1,,,1012,1012,,,,,6037,,1,,,,7,33941526,-118250943,7344,,,,,,100,261,LAR1,60372420,12447,3101,118849,95983,0,,,,1,,,1944,,,54532,198735,2015,144203,2727.44,,,6.03724E+13
844820,14265047.00,,,,2,3,,,2,,,1500,1500,,,,,6059,,2,2,500,,,33703815,-117880799,6000,,,,,,122,261,,60590740.05,47568,1286,268482,97007,7,,,,,,,1971,1,,72811,251916,2015,179105,3121.42,,,6.05907E+13
679399,13072161.00,,,,2,3,,7,2,,,1339,1339,,,,,6037,,2,,,,2,34041375,-117858349,7526,,,,,,100,261,WAR17200*,60374034.06,34636,3101,,96522,0,,,,1,,,1962,,,48734,68901,2015,20167,1132.34,Y,12,6.0374E+13
699396,17093942.00,,,,2,4,,,2,,1630,1995,1995,,,1630,,6111,1,2,2,460,,,34280299,-119183953,6178,,,,,,1111,261,,61110012.02,34543,2061,,97084,7,,,,,,,1975,1,,140057,178362,2015,38305,1903.04,,,6.111E+13
390936,11599725.00,,,,19,6,,7,19,,,1405,,,1405,,,6037,,19,,,,,34041066,-118377264,6297,,,,,,200,246,LARD2,60372696.01,12447,3101,403195,96015,0,,,,3,,,1927,,,89006,221859,2015,132853,2895.97,,,6.03727E+13
19051,11560073.00,,,,2,3,,7,2,,,1064,1064,,,,,6037,,2,,,,7,34033805,-118424150,5990,,,,,,100,261,LAR1,60372711,12447,3101,403142,96045,0,,,,1,,,1945,,,31392,84408,2015,53016,1118.12,,,6.03727E+13
537090,10828809.00,,,,1,3,,7,1,,,1148,1148,,,,,6037,,1,,,,7,34204554,-118451482,6756,,,,,,100,261,LAR1,60371272.2,12447,3101,41466,96414,0,,,,1,,,1948,,,29757,60746,2015,30989,870.76,,,6.03713E+13
515826,13083096.00,,,,2,3,,7,2,,,1272,1272,,,,,6037,,2,,,,2,34011532,-117890962,5918,,,,,,100,261,LPR175,60374081.41,118217,3101,,96488,0,,,,1,,,1964,,,89700,346400,2015,256700,4358.14,,,6.03741E+13
18080,11231983.00,1,,,2,3,,4,2,,,1466,1466,,,,,6037,,2,,,,2,34534103,-118034781,40360,,,,,,100,261,LCA21*,60379107.09,40227,3101,,97330,0,,,,1,,,1993,,,193796,254994,2015,61198,3726.34,,,6.03791E+13
110421,12144354.00,1,,,3,3,,4,3,,,2675,2675,,,,,6037,,3,,,,2,34115896,-118047116,20643,,,,,,100,261,ARR1YY,60374317,50749,3101,,96268,0,,,,1,,,1938,,,245020,741720,2015,496700,8810.97,,,6.03743E+13
484559,12755188.00,,,,1,3,,7,1,,,1743,1743,,,,,6037,,1,,,,7,33896493,-118076566,6344,,,,,,100,261,NOR1YY,60375527,53636,3101,,96193,0,,,,1,,,1948,,,101827,217844,2015,116017,3075.41,,,6.03755E+13
514206,12716250.00,,,,1,2,,7,1,,,828,828,,,,,6037,,1,,,,7,33958253,-118076428,5160,,,,,,100,261,SSR1YY,60375027,13716,3101,,96201,0,,,,1,,,1950,,,23435,44218,2015,20783,1008.27,,,6.0375E+13
186940,12712738.00,,,,4,5,,1,4,,,2628,2628,,,,,6037,,4,,,TRUE,2,33776197,-118368544,7023,,,1,,,104,261,RPRS10000*,60376704.03,54053,3101,,96122,0,,,,1,,,1966,,,358335,616914,2015,258579,7522.19,,,6.03767E+13
262940,13079087.00,,,,2,4,,4,2,,,2189,2189,,,,,6037,,2,,,,2,34020709,-117852044,8465,1,,,,1,101,261,WAR17200*,60374034.02,34636,3101,,96522,0,,,,1,,,1964,,,252761,597884,2015,345123,7120.93,,,6.0374E+13
105050,17264866.00,,,,3.5,4,,,3.5,,1262,2546,2546,,,1262,,6111,2,3,2,685,,,34173821,-118923498,35897,,,,,,1111,261,,61110059.1,34278,2061,46736,96351,8,,1,,,1008,,1994,2,,277600,457837,2015,180237,5248.42,,,6.11101E+13
996198,14525503.00,,,,0,0,,,,,,,,,,,,6059,,,,,,,33864742,-117867395,,,,,,,0,263,,60590117.22,26531,1286,,97068,0,,,,,,,,,,9450,9450,2015,,26.54,,,6.05901E+13
847753,13114404.00,,,,0,0,,,,,,1848,1848,,,,,6037,,,,,,,34110324,-118790054,,,,,,,070P,263,,60378003.26,9840,3101,,96336,0,,,,,,,2004,,,,,2015,,553.61,,,
959923,12586669.00,,,,1,3,,7,1,,,986,986,,,,,6037,,1,,,,7,33862528,-118271649,5197,,,,,,100,261,CARS*,60375434,10723,3101,,96230,0,,,,1,,,1953,,,68000,340000,2015,272000,5049.42,,,6.03754E+13
864579,10939790.00,1,,,5,6,,4,5,,,2868,2868,,,,,6037,,5,,,,2,34167934,-118319687,6749,,,,,,100,261,BUR1YY,60373117,396054,3101,,96438,0,,,,1,,,1950,,,280749,384826,2015,104077,4441.62,,,6.03731E+13
341385,11321979.00,1,,,4,5,,4,4,,,3776,3776,,,,,6037,,4,,,,2,34639556,-118250178,13020,,,,,,100,261,LCA210*,60379012.13,40227,3101,,97329,0,,,,1,,,2006,,,257513,321891,2015,64378,5501.51,,,6.0379E+13
113876,12979753.00,,,,2,3,,7,2,,,1157,1157,,,,,6037,,2,,,,2,34085954,-117971648,5279,,,,,,100,261,BPR1*,60374049.03,10241,3101,,96465,0,,,,1,,,1961,,,86756,201845,2015,115089,2696.29,,,6.0374E+13
641918,11027095.00,,,,2,3,,7,2,,,1199,1199,,,,,6037,,2,,,,7,34230588,-118419608,6137,,,,,,100,261,LAR1,60371190.01,12447,3101,268002,96361,0,,,,1,,,1953,,,79184,197968,2015,118784,2504.88,,,6.03712E+13
409615,12567745.00,,,,1,3,,7,1,,,1000,1000,,,,,6037,,1,,,,7,33824177,-118208138,5532,,,,,,100,261,LBR1N,60375724,46298,3101,275989,96244,0,,,,1,,,1945,,,50609,253059,2015,202450,3138.92,,,6.03757E+13
111216,12343226.00,,,,4,6,,7,4,,,2754,,,2754,,,6037,,4,,,,,33895839,-118129772,10874,,,,,,200,246,BFR106,60375540.01,44116,3101,,96208,0,,,,2,,,1939,,,195657,371749,2015,176092,4752.69,,,6.03755E+13
813356,13078772.00,,,,2,3,,4,2,,,2043,2043,,,,,6037,,2,,,,2,34022643,-117853813,7724,,,,,,100,261,WAR17200*,60374034.02,34636,3101,,96522,0,,,,1,,,1967,,,71131,90280,2015,19149,1474.31,,,6.0374E+13
834079,10732554.00,1,,,3,3,,7,3,,,2143,2143,,,,,6037,,3,,,,2,34175144,-118639236,20248,1,,,,1,101,261,LARA,60371373.01,12447,3101,48570,96389,0,,,,1,,,1951,,,171390,489303,2015,317913,6088.68,,,6.03714E+13
1041498,17157290.00,,,,2,3,,,2,,1517,1517,1517,,,1517,,6111,1,2,2,441,,,34193347,-119241650,4287,,,,,,1110,261,,61110036.09,13150,2061,,97106,5,,,,,,,1961,1,,63205,77439,2015,14234,894,,,6.111E+13
10847,13973697.00,,,,2,3,,,2,,,1029,1029,,,,,6059,,2,1,396,,,33729425,-117889250,6000,,,,,,122,261,,60590747.01,47568,1286,276449,97004,6,,,,,,,1955,1,,42358,246828,2015,204470,3141.92,,,6.05907E+13
703575,11646691.00,,,,3,3,,4,3,,,1534,1534,,,,,6037,,3,,,,2,34064274,-118459918,5288,,,,,,100,261,LAR1,60372654.1,12447,3101,113910,96030,0,,,,1,,,1932,,,284264,1408822,2015,1124558,17187.57,,,6.03727E+13
808710,11957908.00,,,,1,2,,7,1,,,912,912,,,,,6037,,1,,,,7,34092550,-118222685,5600,,,,,,100,261,LAR1,60371853.1,12447,3101,268103,96046,0,,,,1,,,1922,,,30158,150835,2015,120677,1983.16,,,6.03719E+13
9592,12936916.00,,,,2,4,,7,2,,,1214,1214,,,,,6037,,2,,,,7,34073145,-117912760,7500,1,,,,1,101,261,WCR17500*,60374056,14542,3101,,96524,0,,,,1,,,1951,,,106237,210032,2015,103795,2833.58,,,6.03741E+13
681911,14472824.00,13,,,2,4,,,2,,,1537,1537,,,,,6059,1,2,2,475,,,33604774,-117666271,9955,,,,,,122,261,,60590320.03,12773,1286,,96995,7,,,,,,,1965,1,,122523,580800,2015,458277,6417.36,,,6.05903E+13
892113,12719230.00,1,,,3,3,,4,3,,,1400,1400,,,,,6037,,3,,,,2,33940998,-118069033,,,,,,,010C,266,,60375028.02,13716,3101,,96201,0,,,,1,,,2012,,,204922,327874,2015,122952,4401.01,,,6.0375E+13
84301,13043778.00,,,,3,4,,7,3,,,2124,2124,,,,,6037,,3,,,,2,34136673,-117825976,13664,,,,,,100,261,GDE5,60374004.04,11626,3101,,96486,0,,,,1,,,1964,,,90376,361516,2015,271140,4454.46,,,6.0374E+13
571297,12116734.00,,,,1,2,,7,1,,,1042,1042,,,,,6037,,1,,,,7,34163811,-118116575,5181,,,,,,100,261,PSR6,60374626,47019,3101,273539,96292,0,,,,1,,,1922,,,24863,42583,2015,17720,782.47,Y,14,6.03746E+13
13420,14746906.00,,,,2,2,,,2,,,1023,1023,,,,,6059,,2,1,0,,,33659500,-117997000,,,,,,,34,266,,60590993.06,25218,1286,,96966,0,,,,,,,1989,,,136395,459243,2015,322848,5415.32,,,6.0591E+13
766644,12646171.00,,,,1,2,,7,1,,,1561,1561,,,,,6037,,1,,,,7,33745718,-118285055,5400,,,,,,100,261,LAR2,60372962.1,12447,3101,54300,96221,0,,,,1,,,1908,,,70984,99759,2015,28775,1348.13,,,6.0373E+13
871583,12829224.00,,,,3,3,,4,3,,,1819,1819,,,,,6037,,3,,,,2,33943778,-117977314,9557,1,,,,1,101,261,WHR171/2,60375002.01,14634,3101,,96171,0,,,,1,,,1960,,,71169,99504,2015,28335,6376.69,,,6.0375E+13
715835,10901466.00,,,,4,3,,4,4,,,3478,3478,,,,,6037,,4,,,,2,34160428,-118391870,12602,,,,,,100,261,LAR1,60371251,12447,3101,268551,96452,0,,,,1,,,1937,,,652787,1183176,2015,530389,15411.24,,,6.03713E+13
319702,12453827.00,,,,1,2,,7,1,,,936,936,,,,,6037,,1,,,,7,33858949,-118189219,4553,,,,,,100,261,LBR1N,60375703.03,46298,3101,276476,96239,0,,,,1,,,1924,,,84000,330000,2015,246000,4288.18,,,6.03757E+13
595667,17211688.00,,,,2.5,4,,,2.5,,1420,2550,2550,,,1420,,6111,1,2,2,473,,,34212398,-118883041,10580,,,,,,1110,261,,61110066,34278,2061,,96383,8,,1,,,432,,1979,2,,271138,572407,2015,301269,6030.86,,,6.11101E+13
694955,13977523.00,,,,3,4,,,3,,,2267,2267,,,,,6059,,3,2,602,,,33691280,-118004979,6389,,,,,,122,261,,60590994.13,25218,1286,,96966,0,,,,,,,1997,,,315202,488597,2015,173395,5667.38,,,6.0591E+13
338962,14248448.00,,,,2,4,,,2,,,2231,2231,,,,,6059,,2,2,420,,,33771394,-117853043,5369,,,,,,122,261,,60590754.04,47568,1286,273677,97005,8,,,,,,,1968,1,,102432,257474,2015,155042,2972.7,,,6.05908E+13
822020,11534453.00,,,,2,2,,4,2,,,1921,1921,,,,,6037,,2,,,,2,33980400,-118436000,86133,1,,,,1,010C,266,LAR3,60372753.02,12447,3101,403184,96128,0,,,,1,,,1967,,,190669,346098,2015,155429,4269.18,,,6.03728E+13
859705,14247163.00,,,,2,3,,,2,,,1846,1846,,,,,6059,,2,2,462,,,33762411,-117808643,10495,,,,,,122,261,,60590757.03,40081,1286,,97005,6,,,,,,,1959,1,,57800,85377,2015,27577,1309.06,,,6.05908E+13
344507,11044637.00,1,,,3,3,,4,3,,,1726,1726,,,,,6037,,3,,,,2,34229500,-118463000,24279,,,,,,010C,266,LARD1.5,60371175.2,12447,3101,13017,96369,0,,,,1,,,1991,,,147498,184367,2015,36869,2273.53,Y,13,6.03712E+13
237199,14703751.00,,,,2,2,,,2,,,1053,1053,,,,,6059,,2,2,0,,,33516700,-117721000,,,,,,,1,266,,60590423.25,25459,1286,,96987,0,,,,,,,1989,,,177337,344957,2015,167620,3558.72,,,6.05904E+13
307344,13063502.00,,,,1,2,,7,1,,,832,832,,,,,6037,,1,,,,7,34051421,-117783353,6762,,,,,,100,261,POR16000*,60374024.02,20008,3101,,96506,0,,,,1,,,1949,,,77110,254994,2015,177884,3227.61,,,6.0374E+13
780465,12390784.00,,,,1,3,,7,1,,,939,939,,,,,6037,,1,,,,7,34009686,-118090408,4367,,,,,,100,261,PRSF*,60375006,26483,3101,,96197,0,,,,1,,,1929,,,27050,47630,2015,20580,1092.04,,,6.0375E+13
1037026,14030789.00,,,,2,3,,,2,,,1838,1838,,,,,6059,1,2,2,539,,,33720781,-117958741,7137,,,,,,122,261,,60590992.25,8384,1286,,97008,7,,,,,,,1964,2,,52759,77173,2015,24414,1102.08,,,6.0591E+13
416509,12010375.00,,,,0,0,,,,,,,,,,,,6037,,,,,,,34096610,-118305612,931,,,,,,109,261,LAR4,60371911.1,12447,3101,32059,96008,0,,,,,,,1920,,,1133,56845,2015,55712,698.18,,,
409904,12642904.00,1,,,3,3,,4,3,,,1723,1723,,,,,6037,,3,,,,2,33758366,-118309717,5716,1,,,,1,101,261,RPRS-4*,60376707.01,54053,3101,,96122,0,,,,1,,,1973,,,146443,425396,2015,278953,5395.86,,,6.03767E+13
886780,12906469.00,1,,,2,4,,7,2,,,1366,1366,,,,,6037,,2,,,,2,34108085,-117789413,7647,,,,,,100,261,LVPR4.5D*,60374003.02,39308,3101,,96494,0,,,,1,,,1963,,,84435,107405,2015,22970,1540.9,,,6.0374E+13
563483,14683841.00,,,,2,2,,,2,,,943,943,,,,,6059,,2,1,0,,,33636724,-117610590,1367,,,,,,34,266,,60590320.53,15554,1286,,96993,0,,,,,,,1990,,,91838,224592,2015,132754,2936.3,,,6.05903E+13
586387,12164542.00,,,,1,3,,7,1,,,1108,1108,,,,,6037,,1,,,,7,34180674,-118149004,6114,,,,,,100,261,PSR1,60374615.02,47019,3101,274695,96291,0,,,,1,,,1915,,,75745,321907,2015,246162,3968.19,,,6.03746E+13
429515,14626328.00,1,,,2,2,,,2,,,1221,1221,,,,,6059,,2,2,0,,13,33638120,-117643572,,,,,,,34,266,,60590320.35,12773,1286,,96996,5,,,,,,,1979,,,152913,355495,2015,202582,5070.46,,,6.05903E+13
844472,14178518.00,5,,,2,3,,,2,,,2129,2129,,,,,6059,1,2,2,484,,6,33885019,-117847264,7000,1,,,,1,122,261,,60590117.15,26531,1286,,97068,6,,,,,,,1965,1,,123044,323117,2015,200073,4117.9,,,6.05901E+13
337699,13932840.00,,,,2,2,,,2,,,1545,1545,,,,,6059,,2,2,440,,,33784916,-117935143,9394,,,,,,122,261,,60590883.02,24832,1286,,97047,4,,,,,,,1954,1,,98521,428591,2015,330070,5451.94,,,6.05909E+13
541129,11984398.00,,,,2,4,,7,2,,,2936,,,2936,,,6037,,2,,,,,34060888,-118342138,6222,,,,,,200,246,LAR2,60372110.01,12447,3101,274514,96017,0,,,,2,,,1924,,,322208,859222,2015,537014,10691.73,,,6.03721E+13
264203,14119559.00,,,,3,4,,,3,,,2057,2057,,,,,6059,,3,2,400,,,33833808,-118021466,6000,,,,,,122,261,,60591102.01,10608,1286,,96180,7,,,,,,,1955,1,,118178,516169,2015,397991,6118.48,,,6.05911E+13
332059,11807394.00,,,,1,2,,7,1,,,862,862,,,,,6037,,1,,,,7,34057596,-118211810,4609,,,,,,100,261,LAR1,60372033,12447,3101,116206,96014,0,,,,1,,,1940,,,15686,28713,2015,13027,411.14,,,6.0372E+13
144826,14023619.00,,,,3,6,,,3,,,2433,2433,,,,,6059,,3,2,462,,,33681008,-117901032,6100,,,,,,122,261,,60590639.03,38032,1286,,96958,9,,,,,,,1962,3,,139338,209366,2015,70028,2809.74,,,6.05906E+13
1033213,12388443.00,,,,1,2,,7,1,,,860,860,,,,,6037,,1,,,,7,33969364,-118113798,6048,,,,,,100,261,PRSF*,60375025,26483,3101,,96197,0,,,,1,,,1950,,,75923,278692,2015,202769,3797.15,,,6.0375E+13
386801,14156573.00,,,,4.5,6,,,4.5,,,4148,4148,,,,,6059,,4,2,419,,,33927544,-117862550,5842,,,,,,1,261,,60590218.15,17150,1286,,97035,0,,1,,,,,2013,,,700676,1525660,2015,824984,18871.78,,,
125273,12163302.00,,,,1,2,,7,1,,,660,660,,,,,6037,,1,,,,7,34191603,-118150294,5337,,,,,,100,261,LCR1YY,60374603.02,30187,3101,,96265,0,,,,1,,,1961,,,64000,384000,2015,320000,5473.51,,,6.03746E+13
334676,12481860.00,1,,,3,4,,4,3,,,2371,2371,,,,,6037,,3,,,,2,33865400,-118133696,6012,,,,,,100,261,LKR1*,60375700.03,12292,3101,,96212,0,,,,1,,,1985,,,201757,317730,2015,115973,3947.66,,,6.03757E+13
60484,17255659.00,,,,1,2,,,1,,1393,1393,1393,,,1393,,6111,1,1,1,0,,,34270849,-118737572,7405,1,648,,,1,1110,261,,61110080.02,27110,2061,,97118,5,,,,,160,,1948,1,,140868,258258,2015,117390,3115.94,,,6.11101E+13
145052,14072302.00,,,,2,4,,,2,,,1859,1859,,,,,6059,,2,2,462,,,33710697,-117970533,7320,,,,,,122,261,,60590992.34,8384,1286,,97008,8,,,,,,,1963,1,,101907,546455,2015,444548,6152.76,,,6.0591E+13
525003,11650437.00,1,,,4,3,,10,4,,,4076,4076,,,,,6037,,4,,,,2,34094722,-118459321,17629,1,,,,1,101,261,LARE15,60372621,12447,3101,113688,96058,0,,,,1,,,1967,,,344774,861947,2015,517173,10768.17,,,6.03726E+13
195957,11098098.00,,,,2,3,,4,2,,,1592,1592,,,,,6037,,2,,,,2,34223498,-118575877,10079,,,,,,100,261,LARS,60371134.22,12447,3101,27987,96341,0,,,,1,,,1956,,,110565,310217,2015,199652,3927.18,,,6.03711E+13
323818,14165358.00,,,,2.5,4,,,2.5,,,2438,2438,,,,,6059,,2,2,410,,,33897491,-117805478,10752,,,,,,122,261,,60590218.22,21412,1286,,97078,8,,1,,,,,1963,2,,139158,601499,2015,462341,7063.3,,,6.05902E+13
147964,17209771.00,,,,4.5,4,,,4.5,,1594,3227,3227,,,1594,,6111,2,4,3,876,,,34227774,-118867987,13350,,,,,,1111,261,,61110064,34278,2061,,96383,9,,1,,,28,,2005,2,,357113,714226,2015,357113,7727.86,,,6.11101E+13
719662,12010815.00,,,,1,2,,7,1,,,977,977,,,,,6037,,1,,,,7,34096638,-118318453,6502,,,,,,100,261,LAR4,60371909.02,12447,3101,32059,96009,0,,,,1,,,1905,,,37078,185418,2015,148340,2341.09,,,6.03719E+13
285020,11047909.00,1,,,2,2,,4,2,,,975,975,,,,,6037,,2,,,,2,34251100,-118466000,230859,1,,,,1,012C,266,LARD2,60371096.03,12447,3101,116646,96371,0,,,,1,,,1978,,,107417,134265,2015,26848,1667.52,,,6.03711E+13
57674,14647612.00,1,,,1,1,,,1,,,881,881,,,,,6059,,1,,,,24,33854900,-117922000,,,,,,,34,266,,60590116.02,24812,1286,,97040,4,,,,,,,1963,1,,66579,211932,2015,145353,2673.16,,,6.05901E+13
311926,14672000.00,,,,2.5,3,,,2.5,,,1631,1631,,,,,6059,,2,2,0,,,33595752,-117726949,,,,,,,1,266,,60590626.41,37086,1286,,96974,0,,1,,,,,2010,,,212064,472133,2015,260069,7662,,,6.05906E+13
96669,12433185.00,,,,1,3,,7,1,,,953,953,,,,,6037,,1,,,,7,33837762,-118069184,5256,,,,,,100,261,HGR1*,60375551.04,21778,3101,,96216,0,,,,1,,,1918,,,11196,31570,2015,20374,674.64,,,6.03756E+13
142121,12638590.00,,,,2,4,,7,2,,,1574,1574,,,,,6037,,2,,,,2,33813468,-118305360,6001,,,,,,100,261,LAR1,60372933.01,12447,3101,38888,96210,0,,,,1,,,1969,,,166929,424536,2015,257607,5404.49,,,6.03729E+13
266733,11137062.00,1,,,3,3,,4,3,,,1700,1700,,,,,6037,,3,,,,2,34410943,-118582188,75068,,,,,,010C,266,,60379203.39,,3101,,96395,0,,,,1,,,2004,,,139000,406000,2015,267000,6481.16,,,6.03792E+13
241400,11408943.00,,,,2,3,,4,2,,,1533,1533,,,,,6037,,2,,,,2,33951767,-118326466,7393,,,,,,100,261,INR1YY,60376007.02,45888,3101,,96137,0,,,,1,,,1953,,,27921,50748,2015,22827,991.89,,,6.0376E+13
786719,14754552.00,,,,2,2,,,2,,,1092,1092,,,,,6059,,2,1,0,,,33570992,-117707924,,,,,,,34,266,,60590423.2,37086,1286,,96974,0,,,,,,,1985,,,103169,214389,2015,111220,2226.52,,,6.05904E+13
751615,12599493.00,,,,1,2,,7,1,,,1046,1046,,,,,6037,,1,,,,7,33823407,-118314510,5974,,,,,,100,261,TORR-MD,60376509.02,54722,3101,274895,96159,0,,,,1,,,1941,,,20167,60330,2015,40163,952.74,,,6.03765E+13
231763,12748502.00,,,,2,4,,7,2,,,1125,1125,,,,,6037,,2,,,,2,33907345,-118028786,5978,,,,,,100,261,LCRAYY,60375041.01,5465,3101,,96190,0,,,,1,,,1956,,,33222,56049,2015,22827,1002.61,,,6.0375E+13
155833,12357895.00,,,,1,2,,7,1,,,903,903,,,,,6037,,1,,,,7,33979871,-118178092,7469,,,,,,100,261,BLR3YY,60375338.04,30399,3101,,96083,0,,,,1,,,1926,,,40475,157044,2015,116569,2737.77,,,6.03753E+13
975213,12691745.00,,,,1,1,,4,1,,,659,659,,,,,6037,,1,,,,7,33785200,-118342000,433845,1,,,,1,010E,266,LCR3*,60376702.01,,3101,,96121,0,,,,1,,,1973,,,121620,189551,2015,67931,2677.08,,,6.03767E+13
861228,14753065.00,,,,2,2,,,2,,,1092,1092,,,,,6059,,2,1,0,,,33573542,-117710933,,,,,,,34,266,,60590423.2,37086,1286,,96974,0,,,,,,,1984,,,84857,369232,2015,284375,3760.8,,,6.05904E+13
164636,17294395.00,,,,3,4,,,3,,1560,2824,2824,,,1560,,6111,1,3,2,455,,,34155607,-118836329,8220,1,300,,,1,1111,261,,61110059.06,41673,2061,,96384,8,,,,,500,,1976,2,,398692,664483,2015,265791,7652.7,,,6.11101E+13
